Education,Marital_Status,Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Age
Master,Single,33.812,1,0,86,4,17,19,30,24,39,2,2,1,3,6,0,0,0,0,0,0,0,36
Bachelor,Married,37.04,0,0,41,86,2,73,69,38,48,1,4,2,5,8,0,0,0,0,0,0,0,39
Bachelor,Married,2.447,1,0,42,1,1,1725,1,1,1,15,0,28,0,1,0,0,0,0,0,0,0,42
PhD,Married,58.607,0,1,63,867,0,86,0,0,19,3,2,3,9,8,0,1,0,0,0,0,0,72
PhD,Married,65.324,0,1,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,0,67
Bachelor,Together,40.689,0,1,69,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,0,70
Bachelor,Single,18.589,0,0,89,6,4,25,15,12,13,2,2,1,3,7,0,0,0,0,0,0,0,52
Bachelor,Married,53.359,1,1,4,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,0,45
Bachelor,Single,52.24725135379061,1,0,19,5,1,3,3,263,362,0,27,0,0,1,0,0,0,0,0,0,0,35
Bachelor,Married,38.36,1,0,26,36,2,42,20,21,10,2,2,1,4,3,0,0,0,0,0,0,0,32
PhD,Married,84.618,0,0,96,684,100,801,21,66,0,1,6,9,10,2,0,0,1,0,0,0,0,56
Master,Divorced,10.979,0,0,34,8,4,10,2,2,4,2,3,0,3,5,0,0,0,0,0,0,0,32
Master,Together,38.62,0,0,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0,58
Bachelor,Together,40.548,0,1,31,110,0,5,2,0,3,2,2,1,4,5,0,1,0,0,0,0,0,51
PhD,Divorced,46.61,0,2,8,96,12,96,33,22,43,6,4,1,6,6,0,0,0,0,0,0,1,69
Master,Married,68.657,0,0,4,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,0,75
Master,Single,49.389,1,1,55,40,0,19,2,1,3,1,2,0,3,7,0,0,0,0,0,0,0,70
PhD,Married,67.353,0,1,37,702,17,151,0,8,35,5,5,6,12,2,0,0,0,0,0,0,0,51
Master,Married,23.718,1,0,76,6,3,14,15,7,36,3,3,1,2,7,0,0,0,0,0,0,0,45
Bachelor,Widow,42.429,0,1,99,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,0,48
PhD,Divorced,48.948,0,0,53,437,8,206,160,49,42,2,7,10,5,6,1,0,0,0,0,0,1,78
Bachelor,Married,80.011,0,1,3,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,0,41
Master,Married,20.559,1,0,88,13,1,29,3,0,7,2,2,0,3,8,0,0,0,0,0,0,0,36
Bachelor,Together,21.994,0,1,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,0,64
PhD,Single,52.24725135379061,0,0,80,81,11,50,3,2,39,1,1,3,4,2,0,0,0,0,0,0,0,62
Master,Married,7.5,1,0,19,3,1,10,3,2,12,3,2,0,3,5,0,0,0,0,0,0,0,46
Bachelor,Single,79.941,0,0,72,123,164,266,227,30,174,1,2,4,9,1,0,0,0,0,0,0,0,45
Master,Married,7.5,0,0,24,3,18,14,15,22,50,3,3,1,3,9,0,0,0,0,0,0,1,25
Bachelor,Together,41.728,1,0,92,13,6,15,3,5,13,1,2,0,2,10,0,0,0,0,0,0,0,53
Bachelor,Single,52.24725135379061,2,1,96,48,5,48,6,10,7,3,2,1,4,6,0,0,0,0,0,0,0,70
PhD,Married,72.55,1,1,39,826,50,317,50,38,38,9,5,2,12,8,0,0,0,0,0,0,0,67
Bachelor,Widow,65.486,0,1,29,245,19,125,37,67,14,1,4,2,10,2,0,0,0,0,0,0,0,64
Master,Married,79.143,0,0,2,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0,0,57
Bachelor,Single,35.79,1,0,54,12,6,20,30,1,3,2,2,0,3,7,0,0,0,0,0,0,0,44
Bachelor,Divorced,82.582,0,0,54,510,120,550,156,40,241,1,4,9,7,1,1,0,0,1,0,0,1,44
Bachelor,Married,66.373,1,1,57,328,9,124,12,24,109,7,4,2,10,3,0,0,0,0,0,0,0,43
Master,Together,82.384,0,0,55,984,51,432,180,120,190,1,3,10,13,1,0,0,1,0,0,0,1,66
Bachelor,Divorced,70.287,0,0,30,295,35,482,121,120,40,1,5,5,10,3,0,0,0,0,0,0,1,55
Bachelor,Single,27.938,1,0,31,13,0,8,2,1,5,1,1,0,4,3,0,0,0,0,0,0,0,33
Bachelor,Single,52.24725135379061,1,0,57,11,3,22,2,2,6,2,2,0,3,6,0,0,0,0,0,0,0,39
PhD,Married,55.954,0,1,63,447,0,28,0,0,43,3,8,2,6,7,0,0,0,0,0,0,0,53
Master,Single,75.777,0,0,12,712,26,538,69,13,80,1,3,6,11,1,0,1,1,0,0,0,1,39
Bachelor,Together,66.653,1,1,18,452,18,102,16,18,6,4,4,2,12,3,0,0,0,0,0,0,0,46
Bachelor,Single,61.823,0,1,26,523,7,134,37,14,169,4,8,2,10,7,0,0,0,0,0,0,0,69
PhD,Widow,67.68,0,1,8,546,0,48,0,6,6,1,7,3,8,5,0,0,0,0,0,0,0,70
Bachelor,Together,70.666,0,0,29,398,40,367,119,122,30,1,7,4,4,4,0,0,0,0,0,0,0,73
Bachelor,Married,25.721,1,0,75,1,3,6,3,6,15,1,1,1,2,7,0,0,0,0,0,0,1,50
Bachelor,Together,32.474,1,1,0,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,0,54
Master,Single,88.194,0,1,19,688,14,309,201,24,38,1,11,10,10,5,1,0,0,1,0,0,1,42
Bachelor,Together,69.096,0,1,4,247,49,159,7,82,109,1,5,2,10,4,0,0,0,0,0,0,0,63
Bachelor,Together,74.854,1,2,90,856,59,487,58,29,73,7,2,5,5,5,0,0,0,0,0,0,0,51
Master,Married,66.991,0,0,1,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,0,67
Master,Married,52.24725135379061,1,0,25,25,3,43,17,4,17,3,3,0,3,8,0,0,0,0,0,0,0,48
Bachelor,Married,65.031,0,1,29,258,107,291,84,37,86,4,10,3,13,7,0,0,0,0,0,0,0,62
PhD,Married,60.631,1,1,88,565,6,65,0,6,19,5,9,2,8,7,0,1,0,0,0,0,0,46
Bachelor,Married,28.332,0,0,58,14,10,13,4,15,9,1,2,1,4,2,0,0,0,0,0,0,0,69
Bachelor,Divorced,40.246,1,0,68,2,1,6,2,1,1,1,1,0,2,6,0,0,0,0,0,0,0,44
Master,Married,75.251,0,0,34,721,111,925,97,18,18,1,7,6,5,5,0,0,0,0,0,0,1,49
Bachelor,Single,75.825,0,0,40,1032,105,779,137,105,51,0,5,8,9,4,1,0,0,0,0,0,1,45
Master,Together,26.326,0,0,12,1,0,5,0,3,9,1,0,0,3,3,0,0,0,0,0,1,0,45
Bachelor,Together,56.046,0,0,9,577,0,64,0,0,51,2,10,1,8,8,1,0,0,0,0,0,1,56
Bachelor,Single,29.76,1,0,87,64,4,68,7,5,17,4,3,1,4,8,0,0,0,0,0,0,0,36
Bachelor,Married,26.304,1,0,5,4,1,5,2,0,4,1,1,0,2,7,0,0,0,0,0,0,0,52
Master,Married,23.559,1,0,87,25,5,19,7,0,23,3,3,0,3,7,0,0,0,0,0,0,0,48
Master,Together,38.62,0,0,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0,58
Bachelor,Divorced,81.361,0,0,18,163,23,424,27,65,76,1,3,10,13,1,0,0,0,0,0,0,0,34
Bachelor,Married,29.44,1,1,95,17,8,14,10,4,3,2,1,0,4,7,0,0,0,0,0,0,0,61
Master,Married,36.138,1,1,48,130,0,16,0,0,5,5,3,1,4,7,0,1,0,0,0,0,0,51
Bachelor,Single,50.388,0,1,3,292,6,37,0,3,34,4,6,1,6,7,0,1,0,1,0,0,1,64
Bachelor,Married,79.593,0,0,70,350,60,568,110,133,145,1,5,6,7,2,0,0,1,0,0,0,0,48
Bachelor,Together,54.178,0,1,79,135,9,39,4,0,7,1,2,2,5,2,0,0,0,0,0,0,0,54
PhD,Married,52.24725135379061,2,1,4,230,42,192,49,37,53,12,7,2,8,9,0,0,0,0,0,0,0,64
Bachelor,Single,52.24725135379061,1,1,45,7,0,8,2,0,1,1,1,0,2,7,0,0,0,0,0,0,0,64
Master,Together,52.24725135379061,0,0,87,445,37,359,98,28,18,1,2,4,8,1,0,0,0,0,0,0,0,48
Master,Single,42.394,1,0,69,15,2,10,0,1,4,1,1,0,3,7,0,0,0,0,0,0,0,49
PhD,Married,23.626,1,0,84,27,2,14,0,0,0,3,3,1,3,5,0,0,0,0,0,0,0,51
Bachelor,Married,30.096,1,0,30,5,3,11,12,5,9,1,2,0,3,6,0,0,0,0,0,0,0,38
Bachelor,Widow,47.916,0,1,72,505,0,26,0,0,75,5,7,4,6,6,0,1,0,0,0,0,0,61
Bachelor,Divorced,51.813,1,1,37,51,2,7,0,1,2,2,2,0,3,7,0,0,0,0,0,0,0,49
Master,Married,78.497,0,0,44,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,0,70
PhD,Married,50.15,0,0,32,135,46,92,65,61,11,2,5,2,7,5,0,0,0,0,0,0,0,38
Master,Single,47.823,0,1,0,53,1,5,2,1,10,2,2,0,3,8,0,0,0,0,0,0,0,61
PhD,Single,34.554,0,1,43,41,1,6,2,0,5,2,2,0,3,6,0,0,0,0,0,0,0,62
Bachelor,Together,85.693,0,1,59,386,172,183,185,132,111,2,9,5,11,5,0,0,0,0,0,0,0,42
PhD,Married,65.846,0,0,68,562,81,276,80,40,81,1,6,3,6,4,0,0,0,0,0,0,0,76
Bachelor,Married,87.195,0,0,35,217,76,690,50,26,38,1,3,11,5,1,0,0,0,0,0,0,1,62
Basic,Together,24.594,1,0,94,1,3,6,10,0,9,1,1,0,3,5,0,0,0,0,0,0,0,42
Bachelor,Married,49.096,1,1,15,144,1,32,2,1,7,4,4,1,4,7,0,0,0,0,0,0,0,57
Bachelor,Married,52.413,0,2,56,295,106,271,75,98,65,4,6,4,12,6,0,0,0,0,0,0,0,52
Bachelor,Single,38.557,1,0,17,76,3,31,4,4,27,2,3,1,3,7,0,0,0,0,0,0,0,43
Master,Married,89.058,0,0,18,454,194,106,31,22,43,1,5,4,4,2,0,0,0,0,0,0,0,61
Bachelor,Together,77.298,0,1,46,425,115,292,23,35,79,1,6,6,11,3,0,0,0,0,0,0,0,42
PhD,Single,68.126,0,0,40,1332,17,311,23,51,86,1,7,4,5,9,0,1,0,0,0,0,1,30
Master,Together,57.288,0,1,27,527,0,21,0,0,60,3,8,1,8,6,0,1,0,0,0,0,0,58
Bachelor,Single,86.037,0,0,95,490,44,125,29,20,22,1,6,7,11,3,0,1,1,0,0,0,1,30
PhD,Married,43.974,1,0,19,378,0,101,0,0,72,5,6,4,6,7,0,0,0,0,0,0,0,41
Bachelor,Single,50.785,1,1,27,64,1,21,0,1,27,2,2,1,3,6,0,0,0,0,0,0,0,59
Bachelor,Married,90.765,0,0,25,547,99,812,151,82,33,0,4,6,5,1,0,0,1,1,0,0,0,51
Master,Married,36.55,1,0,74,47,90,94,123,103,120,5,9,1,5,9,0,0,0,0,0,0,0,43
Master,Together,30.753,1,1,85,12,5,25,0,9,30,2,1,1,3,5,0,0,0,0,0,0,0,54
Bachelor,Together,21.918,1,0,37,1,6,7,11,5,3,2,2,0,3,6,0,0,0,0,0,0,0,52
Master,Together,56.129,0,1,65,320,48,133,39,72,48,4,6,2,10,4,0,0,0,0,0,0,0,68
Master,Single,32.557,1,0,13,34,3,29,0,4,10,3,2,1,3,5,0,0,0,0,0,0,1,54
Master,Married,19.51,2,0,63,9,0,7,3,4,7,2,1,0,3,7,0,0,0,0,0,0,0,36
Bachelor,Divorced,30.992,1,0,83,17,0,14,7,3,2,1,1,0,3,7,0,0,0,0,0,0,0,45
Bachelor,Single,101.97,0,0,69,722,27,102,44,72,168,0,6,8,13,2,0,1,1,1,0,0,1,38
Master,Together,71.488,0,0,87,162,33,124,40,28,172,2,3,4,7,1,0,0,0,0,0,0,0,56
Bachelor,Single,79.607,0,0,37,450,133,951,173,0,216,1,3,6,6,1,0,0,0,0,0,0,1,37
Master,Married,54.348,1,1,51,70,0,16,0,0,4,2,2,0,4,6,0,0,0,0,0,0,0,68
PhD,Married,52.24725135379061,0,1,23,352,0,27,10,0,15,3,6,1,7,6,0,0,0,0,0,0,0,60
PhD,Together,77.376,1,1,72,492,19,110,16,12,12,4,6,3,10,4,0,0,0,0,0,0,0,65
Bachelor,Married,62.998,0,1,10,120,58,73,65,89,58,5,5,4,5,5,0,0,0,0,0,0,0,69
Master,Single,61.331,1,1,42,534,5,47,0,5,41,5,11,1,6,8,0,0,0,0,0,0,0,63
Bachelor,Married,73.448,0,0,10,236,106,189,23,41,130,1,7,2,9,4,0,0,0,0,0,0,0,52
Bachelor,Married,52.24725135379061,0,1,96,231,65,196,38,71,124,1,6,5,7,4,0,0,0,0,0,0,0,58
PhD,Married,41.551,1,1,51,220,0,33,3,0,23,5,5,1,5,8,0,0,0,0,0,0,0,57
PhD,Together,62.981,0,0,21,796,14,590,38,44,0,1,4,5,13,3,0,1,0,0,0,0,0,54
Basic,Divorced,9.548,1,0,31,0,1,3,10,6,9,2,1,0,3,8,0,0,0,0,0,0,0,45
PhD,Married,33.762,2,1,61,53,1,34,2,0,16,3,2,2,2,8,0,0,0,0,0,0,0,62
PhD,Single,35.86,1,1,37,15,0,8,4,2,20,2,1,1,2,5,1,0,0,0,0,0,1,48
PhD,Divorced,36.921,1,1,74,17,1,12,3,1,4,2,2,0,3,7,0,0,0,0,0,0,0,56
Master,Single,92.859,0,0,46,962,61,921,52,61,20,1,5,4,12,2,0,0,0,0,0,0,0,29
Master,Together,65.104,0,1,4,738,0,232,13,20,50,2,3,5,7,7,0,0,0,0,0,0,1,45
Bachelor,Married,86.111,0,0,73,399,28,756,36,40,126,1,5,7,10,2,0,0,0,0,0,0,0,59
PhD,Single,68.352,0,1,47,614,16,132,43,33,33,3,8,5,9,6,0,0,0,0,0,0,0,47
Bachelor,Together,41.883,1,0,13,32,34,41,73,16,116,3,4,2,3,7,0,0,0,0,0,0,0,33
Bachelor,Married,59.809,0,2,36,598,16,141,32,41,49,3,3,3,6,8,0,0,0,0,0,0,0,45
Bachelor,Married,23.957,1,0,47,2,1,18,20,11,16,1,2,0,3,6,0,0,0,0,0,0,1,46
Bachelor,Together,38.547,1,0,49,6,1,10,0,1,4,1,1,0,2,8,0,0,0,0,0,1,0,40
Master,Married,35.688,2,1,94,73,3,90,12,1,32,7,4,1,4,8,0,0,0,0,0,0,0,48
Master,Married,49.605,0,0,65,42,16,29,12,20,8,1,2,1,4,3,0,0,0,0,0,0,0,55
Master,Married,59.354,0,2,59,295,21,78,39,13,13,1,4,4,7,3,0,0,0,0,0,0,0,68
Bachelor,Married,65.747,0,1,96,346,17,48,23,13,13,4,8,1,6,6,0,1,0,0,0,0,0,52
Master,Together,46.344,0,1,28,233,20,57,8,20,91,4,7,1,5,7,0,0,0,0,0,0,0,49
Bachelor,Single,34.176,1,0,12,5,7,24,19,14,20,4,3,0,4,6,0,0,0,0,0,0,0,33
PhD,Together,61.01,0,1,57,888,0,57,0,0,76,2,8,5,11,5,0,0,0,0,0,0,0,69
Bachelor,Together,69.372,0,0,10,997,26,269,34,13,42,1,10,4,6,4,0,1,1,0,0,0,1,72
Bachelor,Single,49.967,0,1,4,212,6,69,4,12,3,3,6,1,5,7,0,0,0,0,0,0,0,63
Bachelor,Single,60.199,1,2,49,8,1,7,2,0,0,1,0,0,3,4,0,0,0,0,0,0,0,43
Bachelor,Together,55.375,0,1,3,42,11,57,10,28,14,1,1,1,6,2,0,0,0,0,0,0,0,44
Bachelor,Single,80.317,0,0,64,536,11,387,149,91,57,1,3,4,10,1,0,0,0,0,0,0,0,66
Master,Single,30.523,2,1,0,5,0,3,0,0,5,1,1,0,2,7,0,0,0,0,0,0,0,63
PhD,Married,70.356,0,0,20,1349,16,249,43,16,33,2,10,6,9,6,0,0,0,0,0,0,0,76
Bachelor,Married,23.228,1,0,91,53,3,49,7,4,5,4,3,0,4,8,0,0,0,0,0,0,0,37
PhD,Divorced,74.165,0,0,9,1001,12,240,16,12,12,1,5,4,10,2,0,0,0,0,0,0,0,46
PhD,Married,157.243,0,1,98,20,2,1582,1,2,1,15,0,22,0,0,0,0,0,0,0,0,0,48
Bachelor,Together,43.482,2,1,83,18,1,32,6,3,28,3,2,0,4,6,0,0,0,0,0,0,0,55
Bachelor,Divorced,62.551,0,0,27,125,16,98,134,21,27,1,6,7,4,3,1,0,0,0,0,0,0,68
Bachelor,Divorced,52.332,0,0,63,212,5,33,7,0,2,1,3,2,6,4,0,1,0,0,0,0,0,62
Bachelor,Single,66.951,0,0,46,277,162,305,173,76,124,1,3,4,7,1,0,0,0,0,0,0,0,33
Bachelor,Together,26.091,1,1,84,15,10,19,8,17,20,3,2,1,3,5,0,0,0,0,0,0,0,64
Bachelor,Together,33.456,1,1,58,7,3,10,8,1,7,2,1,0,3,7,0,0,0,0,0,0,0,56
Bachelor,Married,28.718,1,0,78,12,4,6,11,8,16,2,2,0,3,8,0,0,0,0,0,0,0,39
Bachelor,Married,50.447,2,0,4,85,7,24,2,3,27,1,3,1,3,6,0,0,0,0,0,0,0,51
PhD,Together,53.537,1,1,17,81,0,6,0,0,6,2,2,1,3,5,0,0,0,0,0,0,0,62
Bachelor,Single,52.074,0,1,77,59,0,12,0,0,48,1,2,2,2,4,1,0,0,0,0,0,0,54
PhD,Married,80.427,0,1,56,1149,71,449,69,71,26,1,11,8,8,5,0,0,0,0,0,0,0,46
PhD,Married,83.837,0,0,79,847,66,119,86,89,111,1,9,10,5,4,0,1,0,1,0,0,1,73
PhD,Married,38.853,1,1,90,29,0,14,0,0,2,2,2,0,3,7,0,0,0,0,0,0,0,51
Bachelor,Together,38.285,2,1,96,2,0,5,2,0,1,1,0,0,3,2,0,0,0,0,0,0,0,62
Master,Married,78.497,0,0,44,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,0,70
PhD,Married,51.65,0,1,81,152,3,22,2,5,7,1,4,1,4,5,0,0,0,0,0,0,0,45
Master,Married,16.248,1,0,77,12,11,10,3,12,9,3,2,1,3,6,0,0,0,0,0,0,0,33
Master,Married,66.835,0,0,21,620,26,195,34,17,141,1,6,4,13,2,0,0,0,0,0,0,0,75
Master,Married,30.477,1,0,16,47,1,6,0,0,12,1,1,1,3,6,0,0,0,0,0,0,0,37
Basic,Married,28.249,0,0,80,1,9,7,2,14,10,1,2,0,3,6,0,0,0,0,0,0,0,60
Bachelor,Married,25.271,1,0,45,10,1,18,10,4,7,1,1,1,2,9,0,0,0,0,0,0,0,38
PhD,Single,32.303,0,1,63,35,0,2,0,0,2,2,1,0,4,5,0,0,0,0,0,0,0,51
Bachelor,Married,61.286,0,1,34,356,0,107,19,9,117,2,7,1,8,5,0,0,0,0,0,0,0,55
Bachelor,Married,74.068,0,0,14,783,30,537,140,76,15,1,4,10,9,2,0,0,0,0,0,0,0,45
PhD,Married,45.759,1,1,13,42,1,18,3,0,4,2,2,0,3,7,0,0,0,0,0,0,0,57
Basic,Together,24.882,1,0,52,1,4,10,29,0,36,1,1,1,2,6,1,0,0,0,0,0,0,43
PhD,Together,66.973,0,0,98,466,22,432,147,113,102,1,8,7,12,3,0,0,0,0,0,0,0,32
Bachelor,Married,38.872,1,0,93,23,3,21,3,19,22,2,3,0,3,8,0,0,0,0,0,0,0,33
Bachelor,Married,51.148,1,1,38,235,6,45,8,9,12,4,5,1,6,6,0,0,0,0,0,0,0,48
Bachelor,Married,31.353,1,1,24,10,0,10,3,1,7,2,1,1,2,8,0,0,0,0,0,0,0,44
Master,Married,69.661,0,0,80,656,16,106,32,16,8,1,7,3,12,3,0,0,0,0,0,0,0,41
Bachelor,Married,80.067,0,0,82,519,17,813,27,173,51,1,4,6,6,2,0,0,1,0,0,0,0,67
Bachelor,Married,86.718,0,0,20,344,189,482,50,33,172,1,5,6,5,2,0,0,0,0,0,0,0,67
PhD,Single,46.854,1,1,81,96,1,79,7,1,79,6,5,1,3,8,1,0,0,0,0,0,1,48
Bachelor,Divorced,69.142,0,1,50,448,4,34,6,4,39,3,8,1,7,5,0,1,0,0,0,0,0,69
Bachelor,Single,75.922,0,0,60,265,138,553,224,23,92,1,4,4,9,1,0,0,0,0,0,0,0,53
Bachelor,Divorced,63.693,0,1,63,587,43,337,42,87,54,3,11,6,9,6,0,0,0,0,0,0,0,43
PhD,Together,102.16,0,0,54,763,29,138,76,176,58,0,7,9,10,4,0,1,1,1,0,0,1,44
PhD,Single,40.637,1,1,72,22,0,13,0,0,3,2,1,0,3,7,0,0,0,0,0,0,0,56
Master,Single,18.89,0,0,5,6,4,1,7,2,15,1,0,1,2,6,1,0,0,0,0,0,1,37
Bachelor,Together,29.604,1,0,88,7,6,13,7,6,14,1,1,0,3,9,1,0,0,0,0,0,0,33
Master,Divorced,48.721,1,1,50,81,18,113,47,13,21,6,4,2,5,6,0,0,0,0,0,0,0,58
Bachelor,Married,44.794,0,1,99,54,0,7,0,0,4,1,2,0,3,6,0,0,0,0,0,0,0,55
Bachelor,Divorced,64.497,0,1,17,1170,48,320,42,32,192,5,11,4,9,8,1,0,0,0,0,0,1,67
Bachelor,Together,46.097,0,1,11,72,24,68,65,4,8,5,3,1,6,4,0,0,0,0,0,0,0,65
Bachelor,Together,77.972,0,0,18,613,22,319,33,102,12,1,4,6,9,1,0,0,0,0,0,0,0,67
PhD,Married,44.377,1,1,70,224,0,30,0,0,10,8,5,1,5,8,0,0,0,0,0,0,0,53
Master,Together,46.014,1,1,21,410,0,59,19,9,44,10,7,1,8,7,0,0,0,0,0,0,0,47
Bachelor,Married,70.951,0,0,66,239,10,554,254,87,54,1,3,4,9,1,0,0,0,0,0,0,0,36
Bachelor,Married,41.443,1,0,79,171,7,171,25,19,89,6,8,1,5,8,0,0,0,0,0,0,0,44
Master,Single,52.195,2,1,2,12,0,4,0,0,1,1,1,0,2,8,0,0,0,0,0,0,0,43
Master,Married,83.79,0,0,81,1076,16,417,42,48,16,1,8,10,6,3,0,1,1,0,0,0,0,73
Master,Widow,44.551,0,1,24,182,4,33,0,0,66,2,4,1,5,7,0,0,0,0,0,0,0,67
Bachelor,Together,69.508,1,0,48,824,32,162,42,32,43,2,11,4,11,6,0,0,0,0,0,0,0,41
Master,Together,45.204,1,0,93,30,11,25,29,1,18,1,1,1,4,3,0,0,0,0,0,0,0,33
Bachelor,Married,72.46,0,0,56,377,10,540,80,30,10,1,3,5,7,1,0,0,0,0,0,0,0,52
PhD,Together,77.622,0,2,3,520,7,154,19,0,14,2,6,3,11,3,0,0,0,0,0,0,0,51
PhD,Married,30.732,1,0,44,155,1,25,0,1,3,4,4,1,4,8,0,0,0,0,0,0,0,41
Bachelor,Divorced,63.887,0,1,38,897,23,207,15,11,92,5,9,6,12,6,0,0,0,0,0,0,0,59
Bachelor,Together,42.011,1,0,46,131,0,16,2,1,39,4,3,1,4,8,0,0,0,0,0,0,0,43
Bachelor,Together,51.369,0,1,84,297,7,79,0,11,182,2,8,2,4,8,0,0,0,0,0,0,0,45
Bachelor,Divorced,51.537,0,1,27,787,20,204,0,0,92,3,2,2,11,8,0,0,0,0,0,0,0,69
PhD,Married,79.93,0,0,72,792,86,740,67,51,17,1,3,5,8,2,0,0,0,0,0,0,0,49
PhD,Together,34.32,1,0,66,4,1,9,3,0,0,1,1,0,2,8,0,0,0,0,0,0,0,35
Bachelor,Single,37.07,1,1,30,231,7,137,4,15,39,9,5,1,8,7,0,0,0,0,0,0,1,55
Master,Divorced,81.975,0,1,2,983,76,184,180,138,27,1,6,3,4,7,0,0,1,0,0,0,0,59
Bachelor,Together,38.59,1,0,65,3,1,8,4,3,3,1,1,0,2,8,0,0,0,0,0,0,0,50
Bachelor,Single,15.033,0,0,37,0,4,5,6,0,4,1,1,0,3,3,0,0,0,0,0,0,0,70
PhD,Married,62.745,0,1,89,562,21,464,28,10,32,3,7,8,11,5,0,0,0,0,0,0,0,56
Master,Married,22.212,1,0,49,5,9,20,6,8,21,2,2,0,4,6,0,0,0,0,0,0,0,46
Master,Together,23.661,1,0,46,18,0,4,0,0,1,1,1,0,3,7,0,0,0,0,0,0,0,39
PhD,Single,79.761,0,1,32,415,5,124,15,35,11,1,5,2,11,3,0,0,0,0,0,0,0,63
Bachelor,Single,7.5,1,0,54,5,3,10,12,7,20,4,3,1,3,7,0,0,0,0,0,0,0,48
Bachelor,Widow,73.455,0,0,98,901,61,757,186,163,20,1,6,5,10,3,0,1,0,0,0,0,0,53
Bachelor,Together,64.961,0,1,97,382,114,276,75,124,38,2,6,4,4,3,0,0,0,0,0,0,0,63
Bachelor,Single,22.804,1,0,75,14,1,7,2,1,1,1,2,0,2,9,0,0,0,0,0,0,0,50
Bachelor,Married,73.687,0,0,8,559,153,503,218,13,181,1,3,9,9,2,0,0,0,1,0,0,1,31
